name,wri_idnr,capacity_mw,fuel,country,owner,source,latitude,longitude,coord_source
Dunas de Paracuru,BRA0031169,42.0,Wind,Brazil,Ventos Brasil Geração e Comercialização de Energia Elétrica S.A.,http://sigel.aneel.gov.br/kmz.html,-3.436744,-38.985368,Brazil national data
Atlântica V,BRA0031166,30.0,Wind,Brazil,Atlântica V Parque Eólico S.A.,http://sigel.aneel.gov.br/kmz.html,-30.291516,-50.305012,Brazil national data
Corredor do Senandes II,BRA0031167,21.6,Wind,Brazil,OEA Eólica Corredor do Senandes 2 S.A.,http://sigel.aneel.gov.br/kmz.html,-32.386208,-52.327,Brazil national data
Arizona 1,BRA0031164,28.0,Wind,Brazil,Arizona 1 Energia Renovável S.A,http://sigel.aneel.gov.br/kmz.html,-5.304167,-35.382,Brazil national data
Atlântica I,BRA0031165,30.0,Wind,Brazil,Atlântica I Parque Eólico S.A.,http://sigel.aneel.gov.br/kmz.html,-30.318801,-50.316096,Brazil national data
Amparo,BRA0031162,22.5,Wind,Brazil,Amparo Energia Eólica S.A.,http://sigel.aneel.gov.br/kmz.html,-26.618266,-51.564595,Brazil national data
Aratuá I,BRA0031163,14.4,Wind,Brazil,Brasventos Aratuá 1 Geradora de Energia S.A.,http://sigel.aneel.gov.br/kmz.html,-5.091948,-36.337656,Brazil national data
Ventos de Campo Formoso II,BRA0031160,30.0,Wind,Brazil,Campo Formoso II Energias Renováveis S.A.,http://sigel.aneel.gov.br/kmz.html,-10.51956,-40.611384,Brazil national data
Alhandra,BRA0031161,6.3,Wind,Brazil,Cedin do Brasil Ltda,http://sigel.aneel.gov.br/kmz.html,-7.273056,-34.934444,Brazil national data
Mels (KW Stoffel),WRI1004347,3.3,Hydro,Switzerland,,Swiss Federal Office of Energy,47.0455631697,9.42317962646,CARMA data
Ventos da Bahia XIII,BRA0030569,15.0,Wind,Brazil,Parque Eólico Ventos da Bahia Ltda,http://sigel.aneel.gov.br/kmz.html,-12.083863,-41.424965,Brazil national data
Ventos da Bahia XII,BRA0030568,12.0,Wind,Brazil,Parque Eólico Ventos da Bahia Ltda,http://sigel.aneel.gov.br/kmz.html,-12.059368,-41.440287,Brazil national data
Patriots Stadium,USA0058896,1.0,Solar,United States of America,Sunlight General Somerset Solar LLC,EIA-860,40.560556,-74.551389,United States of America national data
Tucano VIII,BRA0030565,30.0,Wind,Brazil,Parque Eólico Tucano Ltda,http://sigel.aneel.gov.br/kmz.html,-11.3869,-38.777349,Brazil national data
Tucano VII,BRA0030564,30.0,Wind,Brazil,Parque Eólico Tucano Ltda,http://sigel.aneel.gov.br/kmz.html,-11.343656,-38.770271,Brazil national data
